title,abstract,keywords,date,creators,url
Analisis Market Basket Dengan Algoritma Apriori dan FP-Growth,"Algoritma yang umum digunakan dalam proses pencarian frequent itemsets (data yang paling sering muncul) adalah Apriori. Tetapi algoritma Apriori memiliki kekurangan yaitu membutuhkan waktu yang lama dalam proses pencarian frequent itemsets. Untuk mengatasi hal tersebut maka digunakanlah algoritma FP-Growth. Dalam makalah ini akan dibahas penerapan Apriori dan FP-Growth dalam proses pencarian frequent itemsets. Penggunaan FP-Tree yang digunakan bersamaan dengan algoritma FP-growth untuk menentukan frequent itemset dari sebuah database, berbeda dengan paradigma Apriori yang memerlukan langkah candidate generation, yaitu dengan melakukan scanning database secara berulang-ulang untuk menentukan frequent itemset. Makalah ini juga menyajikan pembahasan mengenai perbandingan kompleksitas waktu antara algoritma FP-growth dengan Apriori dan hasil dari perbandingan algoritma tersebut.","Data Mining, Algoritma Apriori, FP-Tree, Frequent Pattern Mining, Frequent Itemset",2009-01,"['Erwin, Erwin']",http://repository.unsri.ac.id/23395/
Identifikasi Kelainan Jantung Menggunakan Pola Citra Digital Electroradiogram,"Electrocardiograph merupakan salah satu alat yang digunakan dalam pemeriksaan jantung. Electrocardiograph menghasilkan Informasi Electrocardiogram yang tidak dapat langsung dibaca oleh orang awam. Electrocardiogram menghasilkan citra grafik dan pernyataan tentang normal atau abnormalnya kondisi jantung. Electrocardiogram merekam aktivitas kelistrikan jantung dalam waktu tertentu. Tahapan Image Processing untuk memperbaiki kualitas citra dan menangkap pola grafik Electrocardiogram yang akan dianalisis antara lain Image Smoothing dengan metode Gauss, Image Segmentation, Image Normalisation dan Image Thinning. Pola line grafik yang dihasilkan akan dianalisa untuk menentukan titik - titik penting tertentu pada line grafik yang telah ditemukan. Titik tersebut menjadi pembanding dalam sistem rule based knowledge dalam menemukan kelainan jantung tersebut. Dalam penelitian ini hasil pengujian yang dapat dikenali adalah 78.26% dari data pengujian yang ada.","Electrocardiograph, Electrocardiogram, Image Processing, Smoothing, Segmentation, Normalisation, Thinning, Line.",2010-01,"['Saparudin, Saparudin', 'Ramadhan, Edvin']",http://repository.unsri.ac.id/23377/
Determination of the Winner of Project Tender Using Analytical Hierarchy Process,"Abstract— Determination of the winner project tender is a fairly complex job. This is because the selection of winners is based on various criteria. On the other hand Analytical Hierarchy Process (AHP) is one method frequently used in the development of Decision Makers System. The principle of AHP method is choice of a decision based on consideration of various criteria. Such conditions make the AHP method suitable to be applied in determining the winner of the tender project. In this research, AHP architecture uses seven criteria, and seven alternatives. The seven criteria are price, specification, time, support, warranty, experience, and the browser. Meanwhile, the company that the alternatives to be selected are companies that have passed the prequalification stage. The winner is determined based on the order of greatest priority value.","Analytical Hierarchy Process, Project Tender, Priority",2010-01,"['Supardi, Julian', 'Lestari, Endang']",http://repository.unsri.ac.id/9369/
SISTEM IDENTIFIKASI PERSONAL BERDASARKAN POLA IRIS MATA,"Conventional Identification systems have several weaknesses in identifying
personal. To overcome those used in biometric Identification system that utilizes a
natural human characteristic, one of which is the iris. Iris pattems has a high
degree of randomness so that no iris pattem is similar even pattem of iris to the
right and the left has a different pattem. To identify the iris pattem is used
Hamming distance method. This final produce Software capable of identifying
personal based on iris pattem by using Hamming distance. From the test results,
the accuracy of the Software developed only 76%. This failure is due to the
influence of eyelashes, eyelids, and eye position.","Identifikasi, Iris Mata",2011-05-12,"['MIRANTI, MIRANTI', 'Samsuryadi, Samsuryadi', 'Supardi, Julian']",http://repository.unsri.ac.id/157054/
PEMBUATAN JIGSAW PUZZLE CAPTCHA MENGGUNAKAN METODE IMPLICIT CAPTCHA DAN PARTIAL CREDIT ALGORITHM DENGAN SKEMA TOKEN BUCKET,"Utilization Completely Automated Public Turing Test to Tell Computer s
and Humans Apart (CAPTCHA) visually usefitl to prevent spam and to ensure
that Online interaction is being delivered by humans and not by the bot. Bot is
automated Software that purposely developed by hackers to perform repetitive
tasks. Plowever, the use of Optical Character Recognition Software (OCR) at the
bot provides an opportunity for a bot t o be able t o solve a visual CAPTCHA
correctly. The use of Jigsaw Puzzle visual CAPTCHA as a substitute for making
online data sent actually originated from humans with better accuracy. Jigsaw
Puzzle CAPTCHA can use to minimize the chances of completing the CAPTCHA
correctly.
vi","JIGSAW PUZZLE CAPTCHA, TOKEN BUCKET",2011-10-18,"['SURYA, ARIFTA', 'Utami, Alvi Syahrini', 'Fachrurrozi, Muhammad']",http://repository.unsri.ac.id/157057/
SISTEM VERIFIKASI MENGGUNAKAN GARIS-GARIS TELAPAK TANGAN,"Verification system aims to accept or reject the identity claimed by a person,
while the identification system is to solve one's identity. Verification system lines
of the palmprint is a process of matching the palmprint were tested with a
palmprint that is claimed. The palmprint is still relatively new biometric, which
has unique characteristics in the form of lines of the palmprint is stable. To get the
characteristics of the palmprint using the line detection method and block
operations. While the process of matching using normalized euclidean distance.
So this final result in Software that can verify a person based on palm lines.","Verifikasi, Garis Telapak Tangan",2011-08-20,"['WIJAYA, NOVAN', 'Supardi, Julian', 'Abdiansah, Abdiansah']",http://repository.unsri.ac.id/157042/
PEMANFAATAN NAIVE BAYES METHOD UNTUK MENGIDENTIFIKASI KONDISI USUS BESAR (COLON) BERBASIS IRIDOLOGI,"Based on iridology, human iris could give information on the colon. Colon
was associated with the human digestive system related to diet and
excretion of the body's systems. Software development (computerized)
was needed to identify the condition of the colon through the iris image. In
this Software, the method that used was a Nai've Bayes Method. This
method use the pixels on the iris image in accordance with the maximum
frequency, and then calculate the probability of each category. This
method generated a probability value of each pixel image of the iris that
had been trained, then use for testing. The result from testing would
provide the maximum probability that describe certain categories of colon
conditions. Iris image database used is Ubiris V.l. Image database was a
collection of grayscale images with size 200x150 px. The result of this
thesis has an error of 37.5%, with 25 data of accurate and 15 data of
inaccurate from 40 training images as whole. Therefore, it could
concluded that the process of Identification of the iris testing to determine
the condition of colon yields accuracy of 62.5%.","Iridologi, Naive Bayes Method, Usus Besar (Colon), Ubiris V.l",2012-08-09,"['DARMAWAHYUNI, ANNISA', 'Erwin, Erwin', 'Effendi, Rusdi']",http://repository.unsri.ac.id/157117/
STEGANOGRAFI PADA DOKUMEN TEKS MENGGUNAKAN LINE SHIFTING,"This research uses Steganography technigue t o secure the Information. W e
can use one of media, such as text using Line Shifting method. Line Shifting is a
way of hiding information by altering the text lines up or down from its normal
position. In this case, we use a text document which is processed into PostScript
to hide bits of information. To retrieve the information that has been hidden,
baselines method is used, by measuring the distance between the baselines of
adjacent lines. The testing are carried out with use case testing to determine the
System's success in every processes, robustness testing to detect the failurs
some stego-media's modification, and document testing to determine the success
of hiding information process on some initial documents modification.","Steganografi, Line Shifting, PostScript, baselines, baris, informasi",2012-08-15,"['FITRIANI, LILYA WAMIRZA', 'Mulya, Megah', 'Yusliani, Novi']",http://repository.unsri.ac.id/157116/
An Enhanced Iris Segmentation Algorithm Using Circle Hough Transform,"Iris segmentation is the most contesting issue in the iris recognition system, since the result of this stage will mar or break the iris recognition system effectiveness. Therefore, a very careful attention has to be paid in the segmentation process if only an accurate result is expected; this depends on the accuracy of the detected pupil center. In this paper we proposed a new method to localize the center of the pupil which is concentric with the iris image by employing 8-neighbourhood operators. This parameter is then fed to a Circle Hough Transform to enhanced iris segmentation processing speed and accuracy. The occlusions due to eyelids and eyelashes noise are detected by applying canny edge operator. The experiment is conducted using 320 iris images from CASIA standard dataset, and the result shows that the proposed method had a high accuracy rate.","Iris segmentation, Iris recognition, 8-neighbourhood operator, Circle Hough transform, and Canny edge detection.",2012-02,"['Nkole, Ifeanyi Ugbaga', 'Sulong, Ghazali Bin', 'Saparudin, Saparudin']",http://repository.unsri.ac.id/23273/
Pendekatan Baru Penyelesaian Traveling Salesman Problem dengan Jaringan Syaraf Tiruan,"Problems in Solving Traveling Salesman Problem (TSP) include the slow turnaround time and the small number of cities that can be solved optimally. This study aimed to try a new approach to solve TSP with Artificial Neural Networks. This new approach was performed hybridizing Hopfield algorithm with Djikstra algorithm. Thus the city need to be divided into several zones. Each zone sought the shortest route using Hopfield, then algorithms Djikstrab is used. From the test results, the accuracy of the approach developed different for each number of cities in a single zone. The ideal number for one zone were 1 or 3 cities, but when 2,4, or 5 cities in one zone showed bad result. However these results have improved settlement outcomes TSP with Hopfield algorithm","Traveling Salesman Problem, TSP, Hopfiled, Djikstra",2012-11,"['Supardi, Julian', 'Famela, Rany']",http://repository.unsri.ac.id/9366/
